Week,This Week's Gross,Last Week's Gross,Diff $,Potential Gross,Gross % of Potential,Average Ticket,Top Ticket,Seats,Total,Per,This Week %,Last Week %,Diff %
,,,,,,,,Sold,Seats,,,,
10/12/2003,"$662,666 ",$0 ,"$662,666 ",$1 ,66266600.00%,$63.00 ,$100.00 ,"10,519","10,638",6,98.90%,0%,0%
10/19/2003,"$821,248 ","$662,666 ","$158,582 ",$1 ,82124800.00%,$59.92 ,$100.00 ,"13,705","14,184",8,96.60%,0%,96.60%
10/26/2003,"$732,199 ","$821,248 ","($89,049)",$1 ,73219900.00%,$59.47 ,$100.00 ,"12,313","12,411",7,99.20%,96.60%,2.60%
11/02/2003,"$799,286 ","$732,199 ","$67,087 ",$1 ,79928600.00%,$63.55 ,$100.00 ,"12,577","14,184",8,88.70%,99.20%,-10.50%
11/09/2003,"$892,085 ","$799,286 ","$92,799 ",$1 ,89208500.00%,$66.06 ,$100.00 ,"13,505","14,184",8,95.20%,88.70%,6.50%
11/16/2003,"$926,289 ","$892,085 ","$34,204 ",$1 ,92628900.00%,$66.75 ,$100.00 ,"13,878","14,184",8,97.80%,95.20%,2.60%
11/23/2003,"$886,753 ","$926,289 ","($39,536)",$1 ,88675300.00%,$64.97 ,$100.00 ,"13,648","14,184",8,96.20%,97.80%,-1.60%
11/30/2003,"$1,121,308 ","$886,753 ","$234,555 ",$1 ,112130800.00%,$79.05 ,$100.00 ,"14,184","14,184",8,100%,96.20%,3.80%
12/07/2003,"$1,010,245 ","$1,121,308 ","($111,063)",$1 ,101024500.00%,$75.83 ,$100.00 ,"13,323","14,184",8,93.90%,100%,-6.10%
12/14/2003,"$1,023,594 ","$1,010,245 ","$13,349 ",$1 ,102359400.00%,$75.72 ,$100.00 ,"13,518","14,184",8,95.30%,93.90%,1.40%
12/21/2003,"$1,042,819 ","$1,023,594 ","$19,225 ",$1 ,104281900.00%,$78.27 ,$100.00 ,"13,653","14,184",8,96.30%,95.30%,1%
12/28/2003,"$1,182,972 ","$1,042,819 ","$140,153 ",$1 ,118297200.00%,$83.40 ,$100.00 ,"14,184","14,184",8,100%,96.30%,3.70%
01/04/2004,"$1,188,937 ","$1,182,972 ","$5,965 ",$1 ,118893700.00%,$83.82 ,$100.00 ,"14,184","14,184",8,100%,100%,0%
01/11/2004,"$1,018,069 ","$1,188,937 ","($170,868)",$1 ,101806900.00%,$75.07 ,$240.00 ,"13,561","14,184",8,95.60%,100%,-4.40%
01/18/2004,"$1,013,453 ","$1,018,069 ","($4,616)",$1 ,101345300.00%,$75.07 ,$240.00 ,"13,501","14,184",8,95.20%,95.60%,-0.40%
01/25/2004,"$1,004,090 ","$1,013,453 ","($9,363)",$1 ,100409000.00%,$74.45 ,$240.00 ,"13,487","14,184",8,95.10%,95.20%,-0.10%
02/01/2004,"$951,831 ","$1,004,090 ","($52,259)",$1 ,95183100.00%,$70.03 ,$240.00 ,"13,591","14,184",8,95.80%,95.10%,0.70%
02/08/2004,"$944,793 ","$951,831 ","($7,038)",$1 ,94479300.00%,$69.11 ,$240.00 ,"13,671","14,184",8,96.40%,95.80%,0.60%
02/15/2004,"$1,001,323 ","$944,793 ","$56,530 ",$1 ,100132300.00%,$73.36 ,$240.00 ,"13,649","14,184",8,96.20%,96.40%,-0.20%
02/22/2004,"$1,064,731 ","$1,001,323 ","$63,408 ",$1 ,106473100.00%,$75.07 ,$240.00 ,"14,184","14,184",8,100%,96.20%,3.80%
02/29/2004,"$1,010,324 ","$1,064,731 ","($54,407)",$1 ,101032400.00%,$73.32 ,$240.00 ,"13,779","14,184",8,97.10%,100%,-2.90%
03/07/2004,"$956,417 ","$1,010,324 ","($53,907)",$1 ,95641700.00%,$72.62 ,$240.00 ,"13,170","14,184",8,92.90%,97.10%,-4.20%
03/14/2004,"$1,064,717 ","$956,417 ","$108,300 ",$1 ,106471700.00%,$75.06 ,$240.00 ,"14,184","14,184",8,100%,92.90%,7.10%
03/21/2004,"$1,081,471 ","$1,064,717 ","$16,754 ",$1 ,108147100.00%,$76.25 ,$240.00 ,"14,184","14,184",8,100%,100%,0%
03/28/2004,"$1,070,189 ","$1,081,471 ","($11,282)",$1 ,107018900.00%,$75.45 ,$240.00 ,"14,184","14,184",8,100%,100%,0%
04/04/2004,"$1,101,014 ","$1,070,189 ","$30,825 ",$1 ,110101400.00%,$77.62 ,$240.00 ,"14,184","14,184",8,100%,100%,0%
04/11/2004,"$1,134,594 ","$1,101,014 ","$33,580 ",$1 ,113459400.00%,$79.99 ,$240.00 ,"14,184","14,184",8,100%,100%,0%
04/18/2004,"$1,104,830 ","$1,134,594 ","($29,764)",$1 ,110483000.00%,$77.89 ,$240.00 ,"14,184","14,184",8,100%,100%,0%
04/25/2004,"$1,082,387 ","$1,104,830 ","($22,443)",$1 ,108238700.00%,$76.31 ,$240.00 ,"14,184","14,184",8,100%,100%,0%
05/02/2004,"$1,065,341 ","$1,082,387 ","($17,046)",$1 ,106534100.00%,$75.11 ,$240.00 ,"14,184","14,184",8,100%,100%,0%
05/09/2004,"$1,092,029 ","$1,065,341 ","$26,688 ",$1 ,109202900.00%,$77.16 ,$240.00 ,"14,153","14,184",8,99.80%,100%,-0.20%
05/16/2004,"$1,080,711 ","$1,092,029 ","($11,318)",$1 ,108071100.00%,$76.19 ,$240.00 ,"14,184","14,184",8,100%,99.80%,0.20%
05/23/2004,"$1,106,282 ","$1,080,711 ","$25,571 ",$1 ,110628200.00%,$78.00 ,$240.00 ,"14,184","14,184",8,100%,100%,0%
05/30/2004,"$1,107,202 ","$1,106,282 ",$920 ,$1 ,110720200.00%,$78.06 ,$240.00 ,"14,184","14,184",8,100%,100%,0%
06/06/2004,"$953,935 ","$1,107,202 ","($153,267)",$1 ,95393500.00%,$76.86 ,$240.00 ,"12,411","12,411",7,100%,100%,0%
06/13/2004,"$1,270,693 ","$953,935 ","$316,758 ",$1 ,127069300.00%,$79.63 ,$240.00 ,"15,957","15,957",9,100%,100%,0%
06/20/2004,"$1,124,528 ","$1,270,693 ","($146,165)",$1 ,112452800.00%,$79.28 ,$240.00 ,"14,184","14,184",8,100%,100%,0%
06/27/2004,"$1,135,355 ","$1,124,528 ","$10,827 ",$1 ,113535500.00%,$80.04 ,$240.00 ,"14,184","14,184",8,100%,100%,0%
07/04/2004,"$1,142,867 ","$1,135,355 ","$7,512 ",$1 ,114286700.00%,$80.57 ,$240.00 ,"14,184","14,184",8,100%,100%,0%
07/11/2004,"$1,142,433 ","$1,142,867 ",($434),$1 ,114243300.00%,$80.54 ,$240.00 ,"14,184","14,184",8,100%,100%,0%
07/18/2004,"$1,166,136 ","$1,142,433 ","$23,703 ",$1 ,116613600.00%,$82.21 ,$240.00 ,"14,184","14,184",8,100%,100%,0%
07/25/2004,"$1,172,927 ","$1,166,136 ","$6,791 ",$1 ,117292700.00%,$82.69 ,$240.00 ,"14,184","14,184",8,100%,100%,0%
08/01/2004,"$1,174,985 ","$1,172,927 ","$2,058 ",$1 ,117498500.00%,$82.84 ,$240.00 ,"14,184","14,184",8,100%,100%,0%
08/08/2004,"$1,187,804 ","$1,174,985 ","$12,819 ",$1 ,118780400.00%,$82.08 ,$240.00 ,"14,472","14,472",8,100%,100%,0%
08/15/2004,"$1,190,775 ","$1,187,804 ","$2,971 ",$1 ,119077500.00%,$82.28 ,$240.00 ,"14,472","14,472",8,100%,100%,0%
08/22/2004,"$1,201,761 ","$1,190,775 ","$10,986 ",$1 ,120176100.00%,$83.04 ,$240.00 ,"14,472","14,472",8,100%,100%,0%
08/29/2004,"$1,204,709 ","$1,201,761 ","$2,948 ",$1 ,120470900.00%,$83.24 ,$240.00 ,"14,472","14,472",8,100%,100%,0%
09/05/2004,"$1,211,753 ","$1,204,709 ","$7,044 ",$1 ,121175300.00%,$83.73 ,$240.00 ,"14,472","14,472",8,100%,100%,0%
09/12/2004,"$1,192,471 ","$1,211,753 ","($19,282)",$1 ,119247100.00%,$82.40 ,$240.00 ,"14,472","14,472",8,100%,100%,0%
09/19/2004,"$1,165,487 ","$1,192,471 ","($26,984)",$1 ,116548700.00%,$81.87 ,$240.00 ,"14,236","14,472",8,98.40%,100%,-1.60%
09/26/2004,"$1,172,291 ","$1,165,487 ","$6,804 ",$1 ,117229100.00%,$81.00 ,$240.00 ,"14,472","14,472",8,100%,98.40%,1.60%
10/03/2004,"$1,178,866 ","$1,172,291 ","$6,575 ",$1 ,117886600.00%,$81.46 ,$240.00 ,"14,472","14,472",8,100%,100%,0%
10/10/2004,"$1,202,536 ","$1,178,866 ","$23,670 ",$1 ,120253600.00%,$83.09 ,$240.00 ,"14,472","14,472",8,100%,100%,0%
10/17/2004,"$1,180,266 ","$1,202,536 ","($22,270)",$1 ,118026600.00%,$81.56 ,$240.00 ,"14,472","14,472",8,100%,100%,0%
10/24/2004,"$1,185,795 ","$1,180,266 ","$5,529 ",$1 ,118579500.00%,$81.94 ,$240.00 ,"14,472","14,472",8,100%,100%,0%
10/31/2004,"$1,195,979 ","$1,185,795 ","$10,184 ",$1 ,119597900.00%,$82.64 ,$240.00 ,"14,472","14,472",8,100%,100%,0%
11/07/2004,"$1,196,658 ","$1,195,979 ",$679 ,$1 ,119665800.00%,$82.69 ,$240.00 ,"14,472","14,472",8,100%,100%,0%
11/14/2004,"$1,196,397 ","$1,196,658 ",($261),$1 ,119639700.00%,$82.67 ,$240.00 ,"14,472","14,472",8,100%,100%,0%
11/21/2004,"$1,212,075 ","$1,196,397 ","$15,678 ",$1 ,121207500.00%,$83.75 ,$240.00 ,"14,472","14,472",8,100%,100%,0%
11/28/2004,"$1,274,459 ","$1,212,075 ","$62,384 ",$1 ,127445900.00%,$88.06 ,$240.00 ,"14,472","14,472",8,100%,100%,0%
12/05/2004,"$1,215,046 ","$1,274,459 ","($59,413)",$1 ,121504600.00%,$83.96 ,$240.00 ,"14,472","14,472",8,100%,100%,0%
12/12/2004,"$1,228,233 ","$1,215,046 ","$13,187 ",$1 ,122823300.00%,$84.87 ,$240.00 ,"14,472","14,472",8,100%,100%,0%
12/19/2004,"$1,241,941 ","$1,228,233 ","$13,708 ",$1 ,124194100.00%,$85.82 ,$240.00 ,"14,472","14,472",8,100%,100%,0%
12/26/2004,"$1,266,203 ","$1,241,941 ","$24,262 ",$1 ,126620300.00%,$87.49 ,$240.00 ,"14,472","14,472",8,100%,100%,0%
01/02/2005,"$1,276,328 ","$1,266,203 ","$10,125 ",$1 ,127632800.00%,$88.19 ,$240.00 ,"14,472","14,472",8,100%,100%,0%
01/09/2005,"$1,258,911 ","$1,276,328 ","($17,417)",$1 ,125891100.00%,$86.99 ,$240.00 ,"14,472","14,472",8,100%,100%,0%
01/16/2005,"$1,246,349 ","$1,258,911 ","($12,562)",$1 ,124634900.00%,$86.12 ,$240.00 ,"14,472","14,472",8,100%,100%,0%
01/23/2005,"$1,232,405 ","$1,246,349 ","($13,944)",$1 ,123240500.00%,$85.16 ,$240.00 ,"14,472","14,472",8,100%,100%,0%
01/30/2005,"$1,226,773 ","$1,232,405 ","($5,632)",$1 ,122677300.00%,$84.77 ,$240.00 ,"14,472","14,472",8,100%,100%,0%
02/06/2005,"$1,203,023 ","$1,226,773 ","($23,750)",$1 ,120302300.00%,$83.64 ,$240.00 ,"14,384","14,472",8,99.40%,100%,-0.60%
02/13/2005,"$1,200,119 ","$1,203,023 ","($2,904)",$1 ,120011900.00%,$83.34 ,$240.00 ,"14,400","14,472",8,99.50%,99.40%,0.10%
02/20/2005,"$1,241,283 ","$1,200,119 ","$41,164 ",$1 ,124128300.00%,$85.77 ,$240.00 ,"14,472","14,472",8,100%,99.50%,0.50%
02/27/2005,"$1,269,846 ","$1,241,283 ","$28,563 ",$1 ,126984600.00%,$87.75 ,$240.00 ,"14,472","14,472",8,100%,100%,0%
